Sno,Country,City,Company,LINKDLN LINK,Website,Tech Need / Problem,EMAIL,CONTACT,Google Maps,Clean_Category,Review,Conversion_Probability,Company_Name_Length,Company_Word_Count,Category_Frequency,City_Frequency,City_Encoded,Category_Encoded,Predicted_Probability,Lead_Priority_Tier
1,India,Bhilwara,Payal kashida kendra and Services,,,,,9928687731,Payal kashida kendra and Services,Services,,0.15,33,5,46,3,0,29,0.15000000000000024,Low Probability Tier (Priority 3)
2,India,Bhilwara,Mateshwari Cloth,,,,,9460576101,Mateshwari Cloth,Store,,0.15,16,2,22,3,0,31,0.15000000000000024,Low Probability Tier (Priority 3)
3,India,Bhilwara,Vastram BEST MEN'S WEAR SHOP IN Bhilwara,,,,,8005581186,Vastram BEST MEN'S WEAR SHOP IN Bhilwara,Store,,0.15,40,7,22,3,0,31,0.15000000000000024,Low Probability Tier (Priority 3)
4,India,Jaipur,Heera Medicals,,,,,9829007085,Heera Medicals,Pharmacy,4.6,0.85,14,2,62,281,1,23,0.8499999999999994,High Probability Tier (Priority 1)
5,India,Jaipur,Ram Singh Medicals,,,,,1412575731,Ram Singh Medicals,Pharmacy,4.7,0.85,18,3,62,281,1,23,0.8499999999999994,High Probability Tier (Priority 1)
6,India,Jaipur,Karol Medical,,,,,8107112678,Karol Medical,Pharmacy,4.0,0.85,13,2,62,281,1,23,0.8499999999999994,High Probability Tier (Priority 1)
7,India,Jaipur,Pravesh Medical&Grocery Store Stor,,,,,9887277007,Pravesh Medical&Grocery Store Stor,Pharmacy,4.3,0.85,34,4,62,281,1,23,0.8499999999999994,High Probability Tier (Priority 1)
8,India,Jaipur,Jaipur Medical,,,,,7568595999,Jaipur Medical,Pharmacy,5.0,0.85,14,2,62,281,1,23,0.8499999999999994,High Probability Tier (Priority 1)
9,India,Jaipur,Laxmi Medicaland Grocery Store Store,,,,,9928445732,Laxmi Medicaland Grocery Store Store,Pharmacy,4.6,0.85,36,5,62,281,1,23,0.8499999999999994,High Probability Tier (Priority 1)
10,India,Jaipur,bahubali Medicaland journal store,,,,,9928648162,bahubali Medicaland journal store,Pharmacy,4.4,0.85,33,4,62,281,1,23,0.8499999999999994,High Probability Tier (Priority 1)
11,India,Jaipur,Ganesh Medical,,,,,1412783634,Ganesh Medical,Pharmacy,4.4,0.85,14,2,62,281,1,23,0.8499999999999994,High Probability Tier (Priority 1)
12,India,Jaipur,Goyal Medical,,,,,9314531821,Goyal Medical,Pharmacy,4.3,0.85,13,2,62,281,1,23,0.8499999999999994,High Probability Tier (Priority 1)
13,India,Jaipur,Vaishali Medicaland Grocery Store,,,,,9461128920,Vaishali Medicaland Grocery Store,Pharmacy,4.2,0.85,33,4,62,281,1,23,0.8499999999999994,High Probability Tier (Priority 1)
14,India,Jaipur,Kohli Grocery Store,,,,,9982666441,Kohli Grocery Store,Pharmacy,4.2,0.85,19,3,62,281,1,23,0.8499999999999994,High Probability Tier (Priority 1)
15,India,Jaipur,Veena Grocery Store Store,,,,,9352912661,Veena Grocery Store Store,Pharmacy,4.3,0.85,25,4,62,281,1,23,0.8499999999999994,High Probability Tier (Priority 1)
16,India,Jaipur,Sunita Grocery Store Store,,,,,1412701364,Sunita Grocery Store Store,Pharmacy,4.4,0.85,26,4,62,281,1,23,0.8499999999999994,High Probability Tier (Priority 1)
17,India,Jaipur,Rajeev Medical,,,,,9928491480,Rajeev Medical,Pharmacy,4.6,0.85,14,2,62,281,1,23,0.8499999999999994,High Probability Tier (Priority 1)
18,India,Jaipur,Siyaram Grocery Store Store,,,,,1412724739,Siyaram Grocery Store Store,Pharmacy,4.1,0.85,27,4,62,281,1,23,0.8499999999999994,High Probability Tier (Priority 1)
19,India,Jaipur,Jai Shree Medical,,,,,7611923934,Jai Shree Medical,Pharmacy,4.5,0.85,17,3,62,281,1,23,0.8499999999999994,High Probability Tier (Priority 1)
20,India,Jaipur,Adarsh Grocery Store,,,,,1412710312,Adarsh Grocery Store,Pharmacy,4.5,0.85,20,3,62,281,1,23,0.8499999999999994,High Probability Tier (Priority 1)
21,India,Jaipur,Jindal Medical,,,,,8560935095,Jindal Medical,Pharmacy,4.3,0.85,14,2,62,281,1,23,0.8499999999999994,High Probability Tier (Priority 1)
